Date,Pork_Production
1921-01-01,565.0
1921-02-01,484.0
1921-03-01,372.0
1921-04-01,374.0
1921-05-01,396.0
1921-06-01,439.0
1921-07-01,375.0
1921-08-01,319.0
1921-09-01,303.0
1921-10-01,350.0
1921-11-01,409.0
1921-12-01,453.0
1922-01-01,486.0
1922-02-01,414.0
1922-03-01,396.0
1922-04-01,353.0
1922-05-01,450.0
1922-06-01,509.0
1922-07-01,404.0
1922-08-01,377.0
1922-09-01,341.0
1922-10-01,398.0
1922-11-01,510.0
1922-12-01,632.0
1923-01-01,646.0
1923-02-01,530.0
1923-03-01,591.0
1923-04-01,511.0
1923-05-01,509.0
1923-06-01,515.0
1923-07-01,488.0
1923-08-01,443.0
1923-09-01,394.0
1923-10-01,522.0
1923-11-01,645.0
1923-12-01,698.0
1924-01-01,680.0
1924-02-01,586.0
1924-03-01,519.0
1924-04-01,470.0
1924-05-01,493.0
1924-06-01,504.0
1924-07-01,503.0
1924-08-01,386.0
1924-09-01,355.0
1924-10-01,416.0
1924-11-01,540.0
1924-12-01,746.0
1925-01-01,681.0
1925-02-01,511.0
1925-03-01,393.0
1925-04-01,374.0
1925-05-01,399.0
1925-06-01,475.0
1925-07-01,380.0
1925-08-01,341.0
1925-09-01,342.0
1925-10-01,424.0
1925-11-01,453.0
1925-12-01,564.0
1926-01-01,577.0
1926-02-01,427.0
1926-03-01,448.0
1926-04-01,399.0
1926-05-01,400.0
1926-06-01,460.0
1926-07-01,438.0
1926-08-01,403.0
1926-09-01,344.0
1926-10-01,356.0
1926-11-01,423.0
1926-12-01,530.0
1927-01-01,573.0
1927-02-01,445.0
1927-03-01,504.0
1927-04-01,430.0
1927-05-01,487.0
1927-06-01,552.0
1927-07-01,461.0
1927-08-01,420.0
1927-09-01,336.0
1927-10-01,370.0
1927-11-01,446.0
1927-12-01,582.0
1928-01-01,675.0
1928-02-01,721.0
1928-03-01,625.0
1928-04-01,412.0
1928-05-01,481.0
1928-06-01,505.0
1928-07-01,389.0
1928-08-01,340.0
1928-09-01,324.0
1928-10-01,468.0
1928-11-01,548.0
1928-12-01,701.0
1929-01-01,683.0
1929-02-01,545.0
1929-03-01,453.0
1929-04-01,467.0
1929-05-01,472.0
1929-06-01,476.0
1929-07-01,485.0
1929-08-01,420.0
1929-09-01,397.0
1929-10-01,475.0
1929-11-01,540.0
1929-12-01,610.0
1930-01-01,632.0
1930-02-01,503.0
1930-03-01,421.0
1930-04-01,434.0
1930-05-01,480.0
1930-06-01,482.0
1930-07-01,438.0
1930-08-01,366.0
1930-09-01,352.0
1930-10-01,436.0
1930-11-01,502.0
1930-12-01,592.0
1931-01-01,708.0
1931-02-01,530.0
1931-03-01,457.0
1931-04-01,448.0
1931-05-01,432.0
1931-06-01,429.0
1931-07-01,383.0
1931-08-01,332.0
1931-09-01,370.0
1931-10-01,452.0
1931-11-01,506.0
1931-12-01,661.0
1932-01-01,626.0
1932-02-01,563.0
1932-03-01,452.0
1932-04-01,468.0
1932-05-01,488.0
1932-06-01,405.0
1932-07-01,368.0
1932-08-01,396.0
1932-09-01,427.0
1932-10-01,454.0
1932-11-01,468.0
1932-12-01,566.0
1933-01-01,580.0
1933-02-01,449.0
1933-03-01,450.0
1933-04-01,487.0
1933-05-01,537.0
1933-06-01,589.0
1933-07-01,505.0
1933-08-01,455.0
1933-09-01,392.0
1933-10-01,384.0
1933-11-01,557.0
1933-12-01,546.0
1934-01-01,658.0
1934-02-01,415.0
1934-03-01,373.0
1934-04-01,418.0
1934-05-01,512.0
1934-06-01,463.0
1934-07-01,428.0
1934-08-01,345.0
1934-09-01,332.0
1934-10-01,440.0
1934-11-01,521.0
1934-12-01,491.0
1935-01-01,377.0
1935-02-01,302.0
1935-03-01,275.0
1935-04-01,284.0
1935-05-01,293.0
1935-06-01,254.0
1935-07-01,252.0
1935-08-01,233.0
1935-09-01,203.0
1935-10-01,297.0
1935-11-01,330.0
1935-12-01,393.0
1936-01-01,463.0
1936-02-01,299.0
1936-03-01,350.0
1936-04-01,343.0
1936-05-01,339.0
1936-06-01,379.0
1936-07-01,384.0
1936-08-01,315.0
1936-09-01,314.0
1936-10-01,436.0
1936-11-01,527.0
1936-12-01,588.0
1937-01-01,451.0
1937-02-01,369.0
1937-03-01,397.0
1937-04-01,368.0
1937-05-01,274.0
1937-06-01,296.0
1937-07-01,239.0
1937-08-01,225.0
1937-09-01,284.0
1937-10-01,373.0
1937-11-01,443.0
1937-12-01,535.0
1938-01-01,578.0
1938-02-01,375.0
1938-03-01,346.0
1938-04-01,326.0
1938-05-01,350.0
1938-06-01,369.0
1938-07-01,340.0
1938-08-01,348.0
1938-09-01,343.0
1938-10-01,412.0
1938-11-01,511.0
1938-12-01,585.0
1939-01-01,543.0
1939-02-01,383.0
1939-03-01,432.0
1939-04-01,396.0
1939-05-01,461.0
1939-06-01,444.0
1939-07-01,406.0
1939-08-01,386.0
1939-09-01,389.0
1939-10-01,464.0
1939-11-01,577.0
1939-12-01,671.0
1940-01-01,695.0
1940-02-01,549.0
1940-03-01,512.0
1940-04-01,467.0
1940-05-01,509.0
1940-06-01,528.0
1940-07-01,453.0
1940-08-01,417.0
1940-09-01,424.0
1940-10-01,589.0
1940-11-01,699.0
1940-12-01,772.0
1941-01-01,598.0
1941-02-01,506.0
1941-03-01,527.0
1941-04-01,508.0
1941-05-01,532.0
1941-06-01,465.0
1941-07-01,447.0
1941-08-01,415.0
1941-09-01,408.0
1941-10-01,550.0
1941-11-01,607.0
1941-12-01,782.0
1942-01-01,776.0
1942-02-01,520.0
1942-03-01,544.0
1942-04-01,568.0
1942-05-01,597.0
1942-06-01,655.0
1942-07-01,583.0
1942-08-01,496.0
1942-09-01,558.0
1942-10-01,591.0
1942-11-01,722.0
1942-12-01,952.0
1943-01-01,793.0
1943-02-01,638.0
1943-03-01,704.0
1943-04-01,671.0
1943-05-01,771.0
1943-06-01,854.0
1943-07-01,852.0
1943-08-01,703.0
1943-09-01,647.0
1943-10-01,687.0
1943-11-01,954.0
1943-12-01,1034.0
1944-01-01,2392.0
1944-02-01,2187.0
1944-03-01,2099.0
1944-04-01,1815.0
1944-05-01,1901.0
1944-06-01,1773.0
1944-07-01,1445.0
1944-08-01,1330.0
1944-09-01,1181.0
1944-10-01,1364.0
1944-11-01,1673.0
1944-12-01,1798.0
1945-01-01,1798.0
1945-02-01,1204.0
1945-03-01,1247.0
1945-04-01,1123.0
1945-05-01,1211.0
1945-06-01,1219.0
1945-07-01,1085.0
1945-08-01,919.0
1945-09-01,867.0
1945-10-01,1019.0
1945-11-01,1625.0
1945-12-01,1913.0
1946-01-01,1798.0
1946-02-01,1675.0
1946-03-01,1314.0
1946-04-01,1419.0
1946-05-01,1416.0
1946-06-01,865.0
1946-07-01,1571.0
1946-08-01,1027.0
1946-09-01,195.0
1946-10-01,1124.0
1946-11-01,1768.0
1946-12-01,1690.0
1947-01-01,1881.0
1947-02-01,1264.0
1947-03-01,1091.0
1947-04-01,1177.0
1947-05-01,1239.0
1947-06-01,1223.0
1947-07-01,1212.0
1947-08-01,972.0
1947-09-01,967.0
1947-10-01,1240.0
1947-11-01,1691.0
1947-12-01,1933.0
1948-01-01,1675.0
1948-02-01,1210.0
1948-03-01,1178.0
1948-04-01,1102.0
1948-05-01,1168.0
1948-06-01,1425.0
1948-07-01,1054.0
1948-08-01,835.0
1948-09-01,911.0
1948-10-01,1249.0
1948-11-01,1648.0
1948-12-01,1862.0
1949-01-01,1677.0
1949-02-01,1264.0
1949-03-01,1331.0
1949-04-01,1175.0
1949-05-01,1148.0
1949-06-01,1214.0
1949-07-01,1079.0
1949-08-01,1105.0
1949-09-01,1155.0
1949-10-01,1398.0
1949-11-01,1758.0
1949-12-01,1922.0
1950-01-01,1769.0
1950-02-01,1258.0
1950-03-01,1468.0
1950-04-01,1276.0
1950-05-01,1309.0
1950-06-01,1323.0
1950-07-01,1132.0
1950-08-01,1152.0
1950-09-01,1214.0
1950-10-01,1472.0
1950-11-01,1799.0
1950-12-01,2013.0
1951-01-01,1981.0
1951-02-01,1290.0
1951-03-01,1521.0
1951-04-01,1485.0
1951-05-01,1463.0
1951-06-01,1471.0
1951-07-01,1263.0
1951-08-01,1368.0
1951-09-01,1294.0
1951-10-01,1604.0
1951-11-01,1874.0
1951-12-01,1983.0
1952-01-01,2062.0
1952-02-01,1716.0
1952-03-01,1684.0
1952-04-01,1522.0
1952-05-01,1330.0
1952-06-01,1328.0
1952-07-01,1179.0
1952-08-01,1144.0
1952-09-01,1291.0
1952-10-01,1609.0
1952-11-01,1703.0
1952-12-01,2163.0
1953-01-01,1871.0
1953-02-01,1360.0
1953-03-01,1459.0
1953-04-01,1284.0
1953-05-01,1121.0
1953-06-01,1177.0
1953-07-01,1086.0
1953-08-01,1052.0
1953-09-01,1196.0
1953-10-01,1441.0
1953-11-01,1632.0
1953-12-01,1584.0
1954-01-01,1468.0
1954-02-01,1182.0
1954-03-01,1398.0
1954-04-01,1209.0
1954-05-01,1121.0
1954-06-01,1187.0
1954-07-01,1087.0
1954-08-01,1168.0
1954-09-01,1379.0
1954-10-01,1500.0
1954-11-01,1746.0
1954-12-01,1856.0
1955-01-01,1711.0
1955-02-01,1399.0
1955-03-01,1655.0
1955-04-01,1362.0
1955-05-01,1294.0
1955-06-01,1217.0
1955-07-01,1089.0
1955-08-01,1331.0
1955-09-01,1487.0
1955-10-01,1754.0
1955-11-01,1981.0
1955-12-01,2113.0
1956-01-01,1940.0
1956-02-01,1696.0
1956-03-01,1758.0
1956-04-01,1494.0
1956-05-01,1428.0
1956-06-01,1311.0
1956-07-01,1267.0
1956-08-01,1317.0
1956-09-01,1405.0
1956-10-01,1784.0
1956-11-01,1873.0
1956-12-01,1649.0
1957-01-01,1667.0
1957-02-01,1428.0
1957-03-01,1534.0
1957-04-01,1447.0
1957-05-01,1442.0
1957-06-01,1222.0
1957-07-01,1265.0
1957-08-01,1273.0
1957-09-01,1400.0
1957-10-01,1723.0
1957-11-01,1595.0
1957-12-01,1624.0
1958-01-01,892.0
1958-02-01,708.0
1958-03-01,775.0
1958-04-01,806.0
1958-05-01,734.0
1958-06-01,710.0
1958-07-01,714.0
1958-08-01,718.0
1958-09-01,822.0
1958-10-01,932.0
1958-11-01,858.0
1958-12-01,949.0
1959-01-01,965.0
1959-02-01,907.0
1959-03-01,918.0
1959-04-01,920.0
1959-05-01,823.0
1959-06-01,825.0
1959-07-01,842.0
1959-08-01,792.0
1959-09-01,926.0
1959-10-01,1060.0
1959-11-01,1028.0
1959-12-01,1125.0
1960-01-01,1058.0
1960-02-01,940.0
1960-03-01,981.0
1960-04-01,910.0
1960-05-01,905.0
1960-06-01,852.0
1960-07-01,724.0
1960-08-01,850.0
1960-09-01,845.0
1960-10-01,885.0
1960-11-01,956.0
1960-12-01,957.0
1961-01-01,947.0
1961-02-01,823.0
1961-03-01,980.0
1961-04-01,823.0
1961-05-01,923.0
1961-06-01,854.0
1961-07-01,723.0
1961-08-01,842.0
1961-09-01,838.0
1961-10-01,993.0
1961-11-01,1034.0
1961-12-01,950.0
1962-01-01,1017.0
1962-02-01,864.0
1962-03-01,1010.0
1962-04-01,932.0
1962-05-01,964.0
1962-06-01,853.0
1962-07-01,798.0
1962-08-01,867.0
1962-09-01,787.0
1962-10-01,1092.0
1962-11-01,1052.0
1962-12-01,993.0
1963-01-01,1063.0
1963-02-01,922.0
1963-03-01,1056.0
1963-04-01,1037.0
1963-05-01,986.0
1963-06-01,824.0
1963-07-01,850.0
1963-08-01,856.0
1963-09-01,954.0
1963-10-01,1110.0
1963-11-01,1075.0
1963-12-01,1130.0
1964-01-01,1162.0
1964-02-01,973.0
1964-03-01,1052.0
1964-04-01,1073.0
1964-05-01,921.0
1964-06-01,868.0
1964-07-01,853.0
1964-08-01,814.0
1964-09-01,939.0
1964-10-01,1140.0
1964-11-01,1106.0
1964-12-01,1118.0
1965-01-01,1014.0
1965-02-01,872.0
1965-03-01,1075.0
1965-04-01,972.0
1965-05-01,803.0
1965-06-01,804.0
1965-07-01,755.0
1965-08-01,806.0
1965-09-01,917.0
1965-10-01,920.0
1965-11-01,935.0
1965-12-01,863.0
1966-01-01,830.0
1966-02-01,809.0
1966-03-01,1006.0
1966-04-01,923.0
1966-05-01,875.0
1966-06-01,841.0
1966-07-01,747.0
1966-08-01,879.0
1966-09-01,991.0
1966-10-01,1029.0
1966-11-01,1094.0
1966-12-01,1106.0
1967-01-01,1108.0
1967-02-01,980.0
1967-03-01,1136.0
1967-04-01,1020.0
1967-05-01,930.0
1967-06-01,919.0
1967-07-01,838.0
1967-08-01,1009.0
1967-09-01,1046.0
1967-10-01,1154.0
1967-11-01,1142.0
1967-12-01,1095.0
1968-01-01,1150.0
1968-02-01,986.0
1968-03-01,1060.0
1968-04-01,1113.0
1968-05-01,1110.0
1968-06-01,895.0
1968-07-01,943.0
1968-08-01,996.0
1968-09-01,1059.0
1968-10-01,1249.0
1968-11-01,1143.0
1968-12-01,1162.0
1969-01-01,1170.0
1969-02-01,1050.0
1969-03-01,1131.0
1969-04-01,1145.0
1969-05-01,1028.0
1969-06-01,964.0
1969-07-01,970.0
1969-08-01,943.0
1969-09-01,1073.0
1969-10-01,1188.0
1969-11-01,1003.0
1969-12-01,1109.0
1970-01-01,1051.0
1970-02-01,929.0
1970-03-01,1076.0
1970-04-01,1137.0
1970-05-01,1015.0
1970-06-01,981.0
1970-07-01,990.0
1970-08-01,1008.0
1970-09-01,1156.0
1970-10-01,1278.0
1970-11-01,1255.0
1970-12-01,1372.0
1971-01-01,1265.0
1971-02-01,1073.0
1971-03-01,1333.0
1971-04-01,1293.0
1971-05-01,1188.0
1971-06-01,1197.0
1971-07-01,1057.0
1971-08-01,1150.0
1971-09-01,1234.0
1971-10-01,1213.0
1971-11-01,1296.0
1971-12-01,1307.0
1972-01-01,1105.0
1972-02-01,1078.0
1972-03-01,1320.0
1972-04-01,1139.0
1972-05-01,1160.0
1972-06-01,1087.0
1972-07-01,902.0
1972-08-01,1089.0
1972-09-01,1073.0
1972-10-01,1202.0
1972-11-01,1218.0
1972-12-01,1087.0
1973-01-01,1149.0
1973-02-01,979.0
1973-03-01,1134.0
1973-04-01,1033.0
1973-05-01,1150.0
1973-06-01,995.0
1973-07-01,889.0
1973-08-01,973.0
1973-09-01,929.0
1973-10-01,1152.0
1973-11-01,1137.0
1973-12-01,1058.0
1974-01-01,1212.0
1974-02-01,999.0
1974-03-01,1167.0
1974-04-01,1225.0
